name,rating,address,category,review_count,url,id
Chrysler Building,4.5,"405 Lexington Ave, New York, NY 10174",Landmarks & Historical Buildings,133,https://www.yelp.com/biz/chrysler-building-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,9zkMiXexYMFmG1xmFoEmBw
The Frick Collection,4.5,"1 E 70th St, New York, NY 10021",Art Museums,524,https://www.yelp.com/biz/the-frick-collection-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,E672oSwgE6Vm4izZlpA6lQ
Philip Williams Posters,4.4,"122 Chambers St, New York, NY 10007","Art Galleries, Art Restoration",29,https://www.yelp.com/biz/philip-williams-posters-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,yuN6opZpkK4vlKfx12XQRg
Harlem Spirituals / New York Visions,4.4,"690 8th Ave, New York, NY 10036","Tours, Jazz & Blues",9,https://www.yelp.com/biz/harlem-spirituals-new-york-visions-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,DbOeoh6eE0uWwqn_rf-MfQ
Koreatown,4.4,"West 32nd Street, New York, NY 10001",Landmarks & Historical Buildings,52,https://www.yelp.com/biz/koreatown-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,OIMKsPGc3QUHCTv0C07XTg
Tamar International Passport And Visa Services,4.4,"26 Broadway, Fl 3, New York, NY 10004",Passport & Visa Services,48,https://www.yelp.com/biz/tamar-international-passport-and-visa-services-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,XGKbJGwwPAzmUyvAvNI5gQ
Social Security Administration,4.4,"123 William St, Fl 3, New York, NY 10038",Public Services & Government,181,https://www.yelp.com/biz/social-security-administration-new-york-4?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,dQMlxmNx30BOZchI_jbWkw
Washington Square Park,4.4,"1 Washington Sq E, New York, NY 10003",Parks,632,https://www.yelp.com/biz/washington-square-park-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,bJQZKARP-Xn2AEqNNMe9OA
One World Trade Center,4.4,"285 Fulton St, New York, NY 10007","Landmarks & Historical Buildings, Shared Office Spaces",574,https://www.yelp.com/biz/one-world-trade-center-new-york-4?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,ZJC4YEatJ1CK-m37rl7-MQ
Museum of the Moving Image,4.4,"36-01 35th Ave, Astoria, NY 11106","Cinema, Museums",615,https://www.yelp.com/biz/museum-of-the-moving-image-astoria?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,YTMCwlmMkVPYRsaNiRLtFA
Vacations By Heather,4.4,"397 Court St, Ste 2C, Brooklyn, NY 11231",Travel Agents,59,https://www.yelp.com/biz/vacations-by-heather-brooklyn?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,wvWInQtHuGGk-dTLoHgy9g
Kings County Distillery,4.4,"299 Sands St, Bldg 121, Brooklyn, NY 11201","Distilleries, Tours",154,https://www.yelp.com/biz/kings-county-distillery-brooklyn-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,J3ZLnLE-DZzrJu2ryEmrEw
The Brant Foundation,4.4,"421 E 6th St, New York, NY 10009","Art Museums, Gift Shops",20,https://www.yelp.com/biz/the-brant-foundation-new-york-6?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,LkIpT7JxmVg8FFvB07d_ZQ
